open,close,min,max,volume,timestamp
9782.00000000,9679.22000000,9570.00000000,9877.00000000,13031.06100600,1591660800000
9678.95000000,9681.75000000,9653.75000000,9706.87000000,4585.06894000,1591675200000
9681.81000000,9721.24000000,9624.53000000,9728.00000000,6679.19438600,1591689600000
9721.23000000,9719.89000000,9672.00000000,9748.95000000,7643.43106600,1591704000000
9719.89000000,9731.15000000,9681.94000000,9744.51000000,5529.21860000,1591718400000
9731.15000000,9772.43000000,9694.00000000,9829.00000000,8556.02729100,1591732800000
9772.44000000,9754.50000000,9735.59000000,9810.00000000,5602.79952500,1591747200000
9754.50000000,9747.89000000,9720.00000000,9790.00000000,4989.53420700,1591761600000
9747.88000000,9729.60000000,9706.04000000,9765.79000000,5097.08919700,1591776000000
9728.41000000,9758.33000000,9720.00000000,9779.00000000,5197.77571200,1591790400000
9758.32000000,9852.18000000,9704.18000000,9992.72000000,19123.51166100,1591804800000
9852.17000000,9885.00000000,9821.95000000,9913.00000000,7120.05268000,1591819200000
9885.22000000,9889.17000000,9860.00000000,9964.00000000,9631.74934500,1591833600000
9889.16000000,9796.47000000,9758.00000000,9906.00000000,9229.71232700,1591848000000
9796.29000000,9788.57000000,9755.52000000,9821.91000000,7810.45174500,1591862400000
9787.58000000,9521.11000000,9502.00000000,9796.29000000,23414.67645000,1591876800000
9521.54000000,9280.93000000,9113.00000000,9569.97000000,34158.40961100,1591891200000
9280.93000000,9280.40000000,9230.00000000,9375.01000000,10173.98525200,1591905600000
9278.88000000,9363.44000000,9232.51000000,9396.00000000,8410.95208300,1591920000000
9364.15000000,9439.00000000,9345.40000000,9463.00000000,8492.42660800,1591934400000
9439.48000000,9495.60000000,9433.73000000,9516.95000000,9002.24420000,1591948800000
9495.60000000,9417.81000000,9360.81000000,9557.12000000,11978.92928800,1591963200000
9417.98000000,9431.21000000,9301.00000000,9457.99000000,8467.59444000,1591977600000
9431.11000000,9465.13000000,9409.85000000,9488.15000000,3766.92031300,1591992000000
9464.96000000,9408.54000000,9398.49000000,9477.18000000,3836.91089800,1592006400000
9408.54000000,9437.90000000,9362.08000000,9448.99000000,4722.27556900,1592020800000
9437.69000000,9405.10000000,9380.00000000,9470.00000000,5119.32517500,1592035200000
9405.13000000,9437.42000000,9390.05000000,9468.00000000,5437.30941700,1592049600000
9437.42000000,9404.08000000,9386.21000000,9494.73000000,4154.50927400,1592064000000
9404.13000000,9473.34000000,9351.00000000,9480.46000000,4489.45451800,1592078400000
9473.34000000,9434.81000000,9425.15000000,9480.99000000,2559.77734000,1592092800000
9434.81000000,9414.63000000,9380.00000000,9444.46000000,3977.02080300,1592107200000
9414.55000000,9426.34000000,9388.00000000,9443.46000000,3120.37272700,1592121600000
